"LSOA11CD","imdscore","imdrank"
"E01031349",12.389,21352
"E01031350",28.619,8864
"E01031351",11.713,22143
"E01031352",16.446,17252
"E01031370",18.265,15643
"E01031374",12.529,21176
"E01031338",7.031,27934
"E01031339",6.791,28249
"E01031340",7.345,27569
"E01031365",15.282,18352
"E01031367",3.289,31879
"E01031345",14.333,19306
"E01031353",7.946,26813
"E01031354",11.101,22893
"E01031355",18.157,15749
"E01031359",15.115,18524
"E01031347",30.131,8184
"E01031348",36.27,5675
"E01031366",29.596,8423
"E01031371",35.208,6060
"E01031372",29.9,8289
"E01031373",19.918,14311
"E01031375",13.028,20648
"E01031356",8.398,26233
"E01031357",11.043,22964
"E01031364",25.208,10765
"E01031368",11.945,21864
"E01031369",10.22,23932
"E01031344",24.183,11331
"E01031346",10.397,23727
"E01031361",33.917,6556
"E01031362",14.883,18763
"E01031363",14.345,19292
"E01031358",31.074,7724
"E01031360",27.37,9527
"E01031376",17.873,16000
"E01031378",20.252,14022
"E01031341",39.348,4700
"E01031342",16.938,16805
"E01031343",15.251,18385
"E01031377",25.042,10842
"E01031379",11.633,22229
"E01019126",27.01,9709
"E01019127",18.144,15761
"E01019132",19.113,14949
"E01019134",12.95,20729
"E01019135",29.366,8527
"E01019136",12.266,21489
"E01019137",24.635,11050
"E01019083",15.426,18218
"E01019107",21.119,13366
"E01019130",15.436,18205
"E01019131",15.298,18333
"E01019081",30.225,8141
"E01019082",17.086,16681
"E01019102",22.446,12432
"E01019128",20.22,14044
"E01019133",14.385,19251
"E01019093",13.667,19964
"E01019094",21.439,13130
"E01019096",14.494,19142
"E01019114",26.958,9737
"E01019115",35.114,6105
"E01019095",49.938,2232
"E01019097",61.34,804
"E01019098",23.552,11714
"E01019099",30.303,8102
"E01019084",15.062,18582
"E01019085",7.975,26774
"E01019086",9.714,24557
"E01019088",15.628,17999
"E01019091",11.755,22079
"E01019078",5.343,29950
"E01019079",8.299,26356
"E01019080",25.313,10696
"E01019087",3.227,31925
"E01019090",16.795,16926
"E01019116",35.269,6038
"E01019118",22.342,12501
"E01019122",47.169,2753
"E01019123",18.916,15126
"E01019124",5.735,29475
"E01019125",11.504,22376
"E01019111",49.258,2356
"E01019112",50.637,2112
"E01019113",60.51,890
"E01019120",24.943,10902
"E01019121",45.432,3099
"E01019108",37.62,5253
"E01019109",35.413,5989
"E01019110",40.986,4227
"E01019117",12.022,21778
"E01019119",9.156,25252
"E01019089",26.812,9823
"E01019100",15.318,18307
"E01019101",10.627,23458
"E01019129",11.467,22430
"E01019092",11.307,22627
"E01019103",10.337,23793
"E01019104",12.543,21160
"E01019105",9.32,25053
"E01019106",9.223,25175
"E01019400",32.283,7210
"E01019401",29.435,8491
"E01019402",19.352,14752
"E01019404",27.405,9512
"E01019406",10.515,23598
"E01019423",10.357,23767
"E01019424",12.945,20734
"E01019477",13.127,20545
"E01019403",37.448,5309
"E01019444",63.563,645
"E01019468",30.852,7825
"E01019469",39.511,4650
"E01019471",37.744,5212
"E01019443",12.152,21614
"E01019470",20.663,13723
"E01019473",5.54,29692
"E01019474",6.921,28077
"E01019475",17.201,16582
"E01019476",9.019,25435
"E01019420",28.002,9167
"E01019442",20.262,14014
"E01019445",17.332,16477
"E01019455",23.338,11839
"E01019456",19.818,14413
"E01019457",12.653,21062
"E01019429",12.871,20822
"E01019454",9.301,25085
"E01019460",12.628,21089
"E01019461",18.096,15804
"E01019462",5.744,29459
"E01019405",14.507,19130
"E01019414",10.96,23059
"E01019428",17.957,15939
"E01019430",8.284,26384
"E01019421",16.268,17408
"E01019422",11.218,22748
"E01019432",18.573,15410
"E01019458",23.176,11931
"E01019459",33.035,6901
"E01019463",42.445,3792
"E01019408",15.097,18547
"E01019409",6.399,28705
"E01019412",5.693,29529
"E01019413",5.086,30207
"E01019416",7.967,26787
"E01019407",20.347,13945
"E01019415",12.661,21052
"E01019417",23.711,11611
"E01019419",13.622,20021
"E01019410",8.768,25744
"E01019411",14.036,19596
"E01019418",13.202,20465
"E01019447",6.84,28179
"E01019449",8.705,25832
"E01019431",24.412,11193
"E01019433",21.51,13077
"E01019438",21.251,13268
"E01019451",18.027,15866
"E01019464",6.2,28928
"E01019434",17.375,16445
"E01019435",13.44,20231
"E01019436",20.094,14166
"E01019439",17.986,15914
"E01019440",18.939,15107
"E01019446",7.796,26997
"E01019448",12.887,20805
"E01019450",24.65,11040
"E01019465",15.915,17713
"E01019467",7.582,27272
"E01019425",1.824,32683
"E01019426",8.75,25772
"E01019427",3.189,31956
"E01019472",11.098,22897
"E01019437",27.812,9281
"E01019441",38.359,5020
"E01019452",45.584,3060
"E01019453",35.607,5915
"E01032613",22.79,12207
"E01031390",15.577,18063
"E01031391",6.839,28182
"E01031392",16.61,17102
"E01031465",15.067,18573
"E01031386",24.118,11363
"E01031387",12.559,21143
"E01031425",4.296,31006
"E01031426",19.856,14382
"E01031393",7.826,26951
"E01031394",17.794,16066
"E01031395",5.836,29372
"E01031396",11.257,22697
"E01031397",9.281,25109
"E01031466",9.185,25216
"E01031427",49.075,2402
"E01031429",46.681,2852
"E01031430",31.183,7669
"E01031467",18.443,15515
"E01031468",14.623,19016
"E01031388",11.188,22784
"E01031389",4.62,30680
"E01031414",13.786,19843
"E01031415",19.99,14251
"E01031459",28.268,9039
"E01031470",18.241,15669
"E01031471",11.439,22473
"E01031472",14.981,18659
"E01031473",24.643,11044
"E01031407",11.767,22068
"E01031408",14.609,19025
"E01031410",17.982,15916
"E01031462",11.175,22796
"E01031463",6.023,29155
"E01031464",14.451,19184
"E01031412",4.571,30731
"E01031422",7.262,27669
"E01031423",11.907,21911
"E01031424",4.919,30381
"E01031398",12.073,21716
"E01031399",10.816,23235
"E01031409",27.824,9271
"E01031455",26.522,9991
"E01031461",7.637,27202
"E01031469",22.206,12606
"E01031411",10.161,24003
"E01031413",8.041,26683
"E01031457",10.895,23118
"E01031458",5.897,29309
"E01031460",13.686,19949
"E01031400",30.804,7851
"E01031428",25.204,10767
"E01031454",45.536,3075
"E01031456",43.287,3588
"E01031401",20.533,13814
"E01031402",14.01,19625
"E01031403",19.423,14713
"E01031405",12.2,21570
"E01031406",12.818,20891
"E01031417",12.2,21569
"E01031438",11.287,22652
"E01031439",9.138,25276
"E01031440",15.033,18603
"E01031404",45.137,3166
"E01031433",25.961,10307
"E01031434",22.464,12424
"E01031441",27.5,9457
"E01031442",19.247,14830
"E01031416",6.012,29168
"E01031418",8.877,25597
"E01031419",14.918,18723
"E01031420",9.258,25131
"E01031421",12.463,21258
"E01031443",26.251,10154
"E01031444",31.051,7737
"E01031450",38.625,4915
"E01031451",31.688,7437
"E01031452",15.818,17807
"E01031431",18.912,15133
"E01031432",37.309,5356
"E01031435",24.264,11277
"E01031436",44.101,3392
"E01031437",34.292,6417
"E01031453",26.147,10209
"E01031380",5.43,29837
"E01031381",11.453,22453
"E01031382",10.799,23259
"E01031383",5.087,30206
"E01031384",6.829,28198
"E01031385",18.337,15593
"E01031445",15.431,18214
"E01031446",7.48,27392
"E01031447",13.573,20076
"E01031448",16.362,17328
"E01031449",14.717,18924
