"MSOA11CD","LSOA11CD"
"E02000001","E01000003"
"E02000001","E01032740"
"E02000001","E01000002"
"E02000001","E01032739"
"E02000001","E01000001"
"E02000001","E01000005"
"E02000002","E01000027"
"E02000002","E01000029"
"E02000002","E01000030"
"E02000002","E01000028"
"E02000003","E01000111"
"E02000003","E01000113"
"E02000003","E01000110"
"E02000003","E01000112"
"E02000003","E01000032"
"E02000003","E01000031"
"E02000004","E01000038"
"E02000004","E01000039"
"E02000004","E01000034"
"E02000004","E01000037"
"E02000005","E01000100"
"E02000005","E01000114"
"E02000005","E01000063"
"E02000005","E01000109"
"E02000005","E01000101"
"E02000007","E01000064"
"E02000007","E01000033"
"E02000007","E01000061"
"E02000007","E01000060"
"E02000007","E01000062"
"E02000008","E01000083"
"E02000008","E01000080"
"E02000008","E01000081"
"E02000008","E01000082"
"E02000008","E01000078"
"E02000008","E01000102"
"E02000008","E01000065"
"E02000009","E01000024"
"E02000009","E01000077"
"E02000009","E01000021"
"E02000009","E01000022"
"E02000009","E01000025"
"E02000009","E01000023"
"E02000010","E01000016"
"E02000010","E01000017"
"E02000010","E01000079"
"E02000010","E01000015"
"E02000010","E01000018"
"E02000011","E01000107"
"E02000011","E01000035"
"E02000011","E01000108"
"E02000011","E01000036"
"E02000012","E01000069"
"E02000012","E01000070"
"E02000012","E01000071"
"E02000012","E01000067"
"E02000012","E01000066"
"E02000013","E01000057"
"E02000013","E01000074"
"E02000013","E01000073"
"E02000013","E01000075"
"E02000013","E01000076"
"E02000014","E01000059"
"E02000014","E01000086"
"E02000014","E01000084"
"E02000014","E01000085"
"E02000014","E01000013"
"E02000014","E01000014"
"E02000015","E01000106"
"E02000015","E01000104"
"E02000015","E01000103"
"E02000015","E01000105"
"E02000016","E01000007"
"E02000016","E01000012"
"E02000016","E01000010"
"E02000016","E01000008"
"E02000017","E01000044"
"E02000017","E01000011"
"E02000017","E01000009"
"E02000017","E01000068"
"E02000017","E01000006"
"E02000018","E01000041"
"E02000018","E01000046"
"E02000018","E01000042"
"E02000018","E01000072"
"E02000018","E01000045"
"E02000019","E01000058"
"E02000019","E01000055"
"E02000019","E01000095"
"E02000019","E01000054"
"E02000019","E01000056"
"E02000020","E01000050"
"E02000020","E01000040"
"E02000020","E01000043"
"E02000020","E01000092"
"E02000020","E01000052"
"E02000021","E01000053"
"E02000021","E01000089"
"E02000021","E01000088"
"E02000021","E01000087"
"E02000021","E01000090"
"E02000022","E01033588"
"E02000022","E01000048"
"E02000022","E01033587"
"E02000022","E01000051"
"E02000022","E01000049"
"E02000023","E01000096"
"E02000023","E01000093"
"E02000023","E01000091"
"E02000023","E01000094"
"E02000024","E01000248"
"E02000024","E01000249"
"E02000024","E01000293"
"E02000024","E01000292"
"E02000024","E01000254"
"E02000024","E01000250"
"E02000025","E01000167"
"E02000025","E01000246"
"E02000025","E01000247"
"E02000025","E01000251"
"E02000025","E01000252"
"E02000026","E01000169"
"E02000026","E01000168"
"E02000026","E01000172"
"E02000026","E01000166"
"E02000027","E01000288"
"E02000027","E01000289"
"E02000027","E01000294"
"E02000027","E01000291"
"E02000027","E01000287"
"E02000027","E01000285"
"E02000028","E01000270"
"E02000028","E01000269"
"E02000028","E01000268"
"E02000028","E01000267"
"E02000029","E01000173"
"E02000029","E01000174"
"E02000029","E01000170"
"E02000029","E01000171"
"E02000029","E01000175"
"E02000030","E01000228"
"E02000030","E01000286"
"E02000030","E01000290"
"E02000030","E01000279"
"E02000030","E01000280"
"E02000030","E01000253"
"E02000031","E01000281"
"E02000031","E01000282"
"E02000031","E01000273"
"E02000031","E01000272"
"E02000031","E01000271"
"E02000032","E01000122"
"E02000032","E01000116"
"E02000032","E01000115"
"E02000032","E01000119"
"E02000032","E01000120"
"E02000033","E01000117"
"E02000033","E01000121"
"E02000033","E01000118"
"E02000033","E01000123"
"E02000033","E01000124"
"E02000034","E01000322"
"E02000034","E01000266"
"E02000034","E01000265"
"E02000034","E01000274"
"E02000034","E01000320"
"E02000035","E01000321"
"E02000035","E01000283"
"E02000035","E01000284"
"E02000035","E01000275"
"E02000035","E01000277"
"E02000036","E01000229"
"E02000036","E01000230"
"E02000036","E01000233"
"E02000036","E01000195"
"E02000036","E01000231"
"E02000036","E01000232"
"E02000037","E01000190"
"E02000037","E01000187"
"E02000037","E01000191"
"E02000037","E01000188"
"E02000037","E01000186"
"E02000037","E01000189"
"E02000038","E01000159"
"E02000038","E01000162"
"E02000038","E01000324"
"E02000038","E01000161"
"E02000038","E01000158"
"E02000038","E01000160"
"E02000039","E01000263"
"E02000039","E01000256"
"E02000039","E01000258"
"E02000039","E01000264"
"E02000040","E01000257"
"E02000040","E01000262"
"E02000040","E01000261"
"E02000040","E01000255"
"E02000041","E01000194"
"E02000041","E01000192"
"E02000041","E01000226"
"E02000041","E01000227"
"E02000041","E01000193"
"E02000042","E01000300"
"E02000042","E01000302"
"E02000042","E01000323"
"E02000042","E01000317"
"E02000042","E01000299"
"E02000042","E01000318"
"E02000043","E01000303"
"E02000043","E01000278"
"E02000043","E01000304"
"E02000043","E01000301"
"E02000043","E01000276"
"E02000044","E01000235"
"E02000044","E01000130"
"E02000044","E01000234"
"E02000044","E01000133"
"E02000044","E01000132"
"E02000045","E01000165"
"E02000045","E01000315"
"E02000045","E01000157"
"E02000045","E01000156"
"E02000045","E01000163"
"E02000045","E01000164"
"E02000046","E01000296"
"E02000046","E01000298"
"E02000046","E01000197"
"E02000046","E01000295"
"E02000047","E01000129"
"E02000047","E01000128"
"E02000047","E01000125"
"E02000047","E01000127"
"E02000047","E01000131"
"E02000047","E01000134"
"E02000048","E01000199"
"E02000048","E01000259"
"E02000048","E01000204"
"E02000048","E01000198"
"E02000048","E01000260"
"E02000049","E01000154"
"E02000049","E01000153"
"E02000049","E01000151"
"E02000049","E01000126"
"E02000049","E01000152"
"E02000050","E01000184"
"E02000050","E01000176"
"E02000050","E01000319"
"E02000050","E01000316"
"E02000050","E01000178"
"E02000050","E01000297"
"E02000051","E01000201"
"E02000051","E01000196"
"E02000051","E01000203"
"E02000051","E01000200"
"E02000051","E01000202"
"E02000052","E01000182"
"E02000052","E01000177"
"E02000052","E01000185"
"E02000052","E01000181"
"E02000052","E01000180"
"E02000052","E01000179"
"E02000053","E01000148"
"E02000053","E01033573"
"E02000053","E01033572"
"E02000053","E01000155"
"E02000053","E01000147"
"E02000054","E01000240"
"E02000054","E01000241"
"E02000054","E01000309"
"E02000054","E01000239"
"E02000055","E01000237"
"E02000055","E01000244"
"E02000055","E01000314"
"E02000055","E01000243"
"E02000055","E01000242"
"E02000055","E01000245"
"E02000056","E01000183"
"E02000056","E01000208"
"E02000056","E01000206"
"E02000056","E01000213"
"E02000056","E01000210"
"E02000056","E01000207"
"E02000057","E01000238"
"E02000057","E01000310"
"E02000057","E01000236"
"E02000057","E01000311"
"E02000058","E01000205"
"E02000058","E01000217"
"E02000058","E01000211"
"E02000058","E01000216"
"E02000058","E01000209"
"E02000058","E01000212"
"E02000059","E01000306"
"E02000059","E01000312"
"E02000059","E01000313"
"E02000059","E01000305"
"E02000059","E01000308"
"E02000059","E01000150"
"E02000060","E01000219"
"E02000060","E01000225"
"E02000060","E01000218"
"E02000060","E01000145"
"E02000060","E01000215"
"E02000060","E01000220"
"E02000061","E01000214"
"E02000061","E01000136"
"E02000061","E01000146"
"E02000061","E01000144"
"E02000061","E01000135"
"E02000062","E01000221"
"E02000062","E01000307"
"E02000062","E01000141"
"E02000062","E01000223"
"E02000063","E01000138"
"E02000063","E01000224"
"E02000063","E01000142"
"E02000063","E01000222"
"E02000064","E01000137"
"E02000064","E01000140"
"E02000064","E01000143"
"E02000064","E01000139"
"E02000065","E01000467"
"E02000065","E01000466"
"E02000065","E01000469"
"E02000065","E01000468"
"E02000066","E01000465"
"E02000066","E01000470"
"E02000066","E01000416"
"E02000066","E01000418"
"E02000066","E01000422"
"E02000066","E01000464"
"E02000067","E01000338"
"E02000067","E01000336"
"E02000067","E01000337"
"E02000067","E01000333"
"E02000067","E01000335"
"E02000068","E01000405"
"E02000068","E01000404"
"E02000068","E01000408"
"E02000068","E01000403"
"E02000069","E01000332"
"E02000069","E01000402"
"E02000069","E01000406"
"E02000069","E01000407"
"E02000070","E01000442"
"E02000070","E01000419"
"E02000070","E01000417"
"E02000070","E01000334"
"E02000070","E01000420"
"E02000071","E01000438"
"E02000071","E01000437"
"E02000071","E01000440"
"E02000071","E01000441"
"E02000071","E01000439"
"E02000072","E01000431"
"E02000072","E01000373"
